symbol,date,expiry,option_type,strike_price,open,high,low,close,ltp,settle_price,no_of_contracts,turnover_in_lakhs,premium_turnover_in_lakhs,open_int,change_in_oi,underlying_value,time_to_expiration
NIFTY,2025-05-12,2025-05-15,CE,26200.0,1.2,5.4,1.2,3.35,3.15,3.35,1169647.0,22985836.15,2272.6,11663550.0,4141275.0,24924.7,0.008213552361396304
NIFTY,2025-05-12,2025-05-22,CE,22450.0,2522.0,2564.55,2522.0,2549.55,2562.1,2549.55,3.0,56.25,5.74,375.0,225.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,22900.0,2123.55,2125.4,2123.55,2124.5,2125.4,2124.5,2.0,37.54,3.19,1200.0,150.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,25150.0,39.95,215.85,39.4,200.3,205.75,200.3,23593.0,447082.08,2059.12,100950.0,40200.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,25200.0,39.8,194.3,29.55,179.65,185.95,179.65,81356.0,1544599.29,6970.89,792225.0,530100.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,23000.0,1559.85,1998.0,1559.85,1992.35,1998.0,1992.35,359.0,6694.33,501.58,44775.0,21675.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,24800.0,89.2,411.95,89.2,394.5,394.9,394.5,61694.0,1158920.24,11411.84,292275.0,9750.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,25350.0,21.5,137.15,20.5,124.4,128.6,124.4,14554.0,277639.44,931.52,95475.0,54450.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,23200.0,1484.45,1784.5,1459.5,1782.0,1780.9,1782.0,36.0,668.82,42.42,4800.0,450.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,25000.0,60.0,289.25,56.95,273.05,279.0,273.05,154905.0,2924392.86,19924.11,958800.0,325425.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,23450.0,1554.05,1587.55,1554.05,1581.45,1586.25,1581.45,7.0,131.41,8.3,4425.0,,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,25050.0,60.0,262.3,48.85,247.4,252.2,247.4,21917.0,414055.57,2289.93,92550.0,63075.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,25700.0,10.95,58.8,9.15,51.25,52.4,51.25,38133.0,735955.41,941.84,285000.0,162000.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,23500.0,1042.55,1534.3,1042.55,1517.3,1511.15,1517.3,418.0,7750.02,382.77,31500.0,-6975.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,23750.0,921.55,1251.45,921.55,1251.45,1251.45,1251.45,51.0,948.44,40.0,6075.0,600.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,23800.0,751.0,1253.45,716.65,1227.6,1240.0,1227.6,1094.0,20358.31,830.41,64500.0,1650.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,23950.0,644.95,1110.85,644.95,1106.25,1097.1,1106.25,529.0,9814.86,312.7,26700.0,-9150.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,24050.0,505.0,1028.55,366.0,1015.1,1010.3,1015.1,1642.0,30447.82,830.24,42975.0,-31950.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,22700.0,2313.55,2313.55,2312.4,2313.0,2312.4,2313.0,2.0,37.52,3.47,900.0,150.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,22800.0,1958.15,2223.2,1958.15,2222.25,2223.2,2222.25,17.0,316.81,26.11,1125.0,375.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,24450.0,270.0,675.5,261.55,665.15,660.85,665.15,3638.0,67781.56,1069.73,26700.0,-23475.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,24550.0,194.0,596.9,194.0,582.15,584.55,582.15,10869.0,202730.16,2604.69,66750.0,-50025.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,22950.0,2076.95,2076.95,2074.05,2075.5,2074.05,2075.5,2.0,37.54,3.11,675.0,150.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,24600.0,195.65,555.45,185.05,539.4,540.0,539.4,34487.0,645021.93,8736.78,442875.0,276975.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,24850.0,105.0,379.55,94.2,363.45,370.0,363.45,19701.0,370623.77,3446.39,110625.0,72975.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,25850.0,9.9,40.9,7.45,35.4,35.55,35.4,8747.0,169718.27,135.81,63450.0,53100.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,23600.0,1048.0,1432.75,1048.0,1430.15,1432.75,1430.15,139.0,2587.43,127.13,28050.0,1275.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,24300.0,329.8,806.65,305.9,791.35,792.8,791.35,7785.0,144828.57,2946.94,96900.0,-111525.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,22200.0,2517.1,2517.1,2517.1,2517.1,2517.1,2763.9,1.0,18.54,1.89,300.0,75.0,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,22350.0,2644.95,2644.95,2644.95,2644.95,2644.95,2644.95,1.0,18.75,1.98,300.0,,24924.7,0.02737850787132101
NIFTY,2025-05-12,2025-05-22,CE,22600.0,2190.0,2190.0,2190.0,2190.0,2190.0,2364.65,1.0,18.59,1.64,1350.0,-75.0,24924.7,0.02737850787132101
